mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,audio_type
-257.22253,152.23746,-3.7890594,4.546374,-19.658728,-23.495329,-8.791175,-25.33078,-17.341087,-12.659698,-16.469358,-12.596629,-17.484024,-14.812619,-8.226862,-12.219792,-15.883691,-7.5593486,-3.9363983,-9.517189,fake
-177.76266,122.369194,-30.195156,55.341824,-30.339052,21.204826,-26.571053,-1.4153613,-4.3376045,-12.90851,-7.4868436,-6.4584217,-3.0769823,-9.528088,0.09043989,-12.548385,3.8452027,-8.068614,-7.7374487,-8.035686,fake
-249.0038,171.44073,-24.93681,11.783933,3.9115033,-14.951922,-6.4248185,-13.930389,-11.505335,-7.4716215,-8.961164,-7.3501353,-9.474746,-5.432071,-2.1930988,-6.0702147,-5.920522,-4.471196,-6.474874,-9.331375,fake
-159.99289,141.9533,-25.717535,49.0887,-25.80382,7.80263,-18.76859,-8.481038,-4.007571,-10.677229,-11.678252,-13.2756195,-7.78211,-5.1272936,-5.608791,-13.23835,-0.3950304,-7.4666452,-5.935328,-9.925767,fake
-247.94536,178.17538,-33.760914,31.488256,7.768346,-39.406452,2.952304,-4.383194,-14.336465,0.07346429,-15.263955,-11.633428,-1.1611799,-9.64782,-2.8411517,-4.053787,-13.285163,-1.808721,-4.215722,-13.124586,fake
-213.42194,116.6512,-37.15184,53.75459,-9.484711,6.1850963,-13.474576,-10.516617,-17.976564,-17.052021,-12.999603,-12.242169,-9.745127,-9.6033325,-2.7289264,-20.133635,-0.012149252,-14.114902,-11.50578,-4.2259145,fake
-254.74652,125.50448,-6.976778,59.74053,-6.485669,6.5356917,-2.5781815,-6.334561,-17.242146,-1.7151163,-7.9993944,-8.65968,-1.0715653,-12.920523,6.4262085,-13.94158,2.0063477,-0.52938575,-8.693687,3.2899446,fake
-226.93182,119.22406,-65.09369,49.21316,-22.500677,5.8195543,-15.508283,-23.59222,-10.948135,-14.9154625,-15.129538,-8.716141,-10.619306,-7.118889,-0.890965,-17.427322,2.654176,-14.493732,-8.926632,-6.929077,fake
-163.39816,139.66714,-32.67933,72.19673,5.9815373,28.33202,-25.620916,5.987069,-16.777979,0.84309244,-6.6019053,-12.744951,8.617325,-12.867529,5.2168713,-3.6465924,-3.675503,-6.4397807,3.7157729,-11.03999,fake
-155.40878,132.3129,-24.733768,48.588364,-32.88866,13.903368,-20.338741,-0.7652504,-5.9785137,-4.9242625,-10.085752,-11.949743,-1.5047809,-9.288623,-0.19113061,-10.6294155,2.8542063,-8.195234,-6.1620245,-7.5877523,fake
-173.99916,106.6511,-27.445793,56.86763,-27.973223,22.968298,-19.309153,7.259071,-12.256562,-0.18332872,-10.176251,-10.640978,-3.1691263,-10.216471,4.4280787,-15.04605,10.480614,-8.769204,-2.3072865,-5.6068597,fake
-252.7824,202.22972,-38.856346,9.090792,-5.642143,-30.282137,15.182022,-8.349625,-24.232584,0.2752554,-4.7245584,-8.972007,-8.932579,-7.9994316,3.0957685,-7.791814,-14.774134,2.772226,-3.828647,-14.258631,fake
-208.64854,156.19193,-28.938536,28.142199,-12.396622,-0.8171471,-9.332772,-3.7019172,-7.6037207,-6.5546637,-5.4277596,-1.0677625,-0.8427852,-4.9099646,0.0891781,0.10838601,3.595867,-3.9365213,3.395432,-5.775354,fake
-255.62161,144.09032,-12.775667,26.857254,-21.13218,-34.895668,-8.078105,-21.439896,-16.77361,-11.345633,-13.306979,-13.620198,-9.52639,-6.605053,-9.316602,-7.4482036,-14.297045,-6.757372,-2.9410703,-13.038705,fake
-246.63753,118.30959,-9.975811,60.39214,-1.3336757,18.78208,-10.962373,5.640858,-19.587175,-15.166412,5.051145,-6.0931664,-1.1124718,-7.6827,7.238893,-9.900524,3.9871826,-2.1453774,-6.0917716,1.1441118,fake
-244.4274,112.38674,-17.22661,65.477745,-15.003397,34.46728,-10.023296,8.43472,-9.415444,-1.0100815,5.550816,-10.8313265,10.865098,-17.879534,6.3238187,-1.4564252,-4.7621293,-3.7086182,-0.16725498,0.5012383,fake
-145.5312,156.82649,-27.879545,63.339832,-6.253433,25.357231,-1.5355924,4.2855644,-11.020552,6.1998186,-15.358053,-3.6870356,5.164999,-10.35474,13.00758,-8.419792,5.490679,-7.603973,-0.4961002,-1.9571936,fake
-272.64395,73.45741,-22.930487,46.102497,-18.758383,4.07039,-11.791741,-2.6145163,-17.103773,-11.659638,-0.79165244,-10.045806,-1.4431034,-6.220849,4.355491,-9.302921,1.9204276,-5.2225814,-8.773114,1.553344,fake
-287.33954,183.31737,-27.797804,25.247248,-2.6030693,-16.628012,13.421967,-24.24463,-23.27406,-2.9872472,-14.732458,-5.7809534,-8.997199,-9.984342,7.8836207,-8.01103,-11.760707,5.2706943,-12.4227915,-14.877701,fake
-170.51149,128.15355,-53.74027,48.11606,-19.104773,3.3522823,-20.434286,-5.750628,-14.37969,-13.891985,-4.6852956,-6.9725137,-3.3301203,-10.28592,6.7973557,-15.61329,0.8054521,-7.465106,-10.829238,-1.7467588,fake
-261.1201,156.79393,-15.04259,14.3270035,-11.421374,-25.296272,-6.3398247,-18.375992,-15.051345,-10.497273,-9.0880165,-7.792073,-11.694137,-7.021941,-5.062973,-10.461449,-15.057948,-5.0854616,2.0073447,-7.1877437,fake
-216.7003,136.59502,-17.225128,49.685204,6.8831515,21.070148,-19.873627,5.697785,-17.18305,4.3943896,-3.1952791,-12.119497,9.398441,-12.203599,7.686576,-3.8794048,-6.7266545,-2.8093066,-0.38946912,-5.9916706,fake
-240.75853,188.3565,-36.128384,16.577724,-10.128759,-25.677364,7.046725,-11.745039,-19.33788,0.22826059,-9.194921,-14.628051,-2.5060606,-3.3650737,-6.289378,-5.751355,-7.777948,-3.7322915,-1.8154093,-11.516602,fake
-230.25896,122.04628,-10.108413,53.09774,-0.36604992,22.139702,-21.43879,0.8464265,-16.968496,-13.79873,3.978926,-8.604433,-0.19665878,-5.0151606,8.984343,-11.217818,6.1631203,-2.4133005,-8.565609,4.478626,fake
-210.977,143.31505,-19.941404,60.616184,-2.4264188,14.419883,-8.271939,11.971801,-5.6607447,-4.5605507,-5.902254,-13.443865,1.2407097,-20.029596,8.767405,-6.0633383,-6.521525,-1.0763024,-4.897286,1.7053387,fake
-190.38899,165.7768,-29.592314,23.544321,-6.115924,4.6569223,-20.583742,-5.429164,-6.276154,-9.506464,-7.3241305,0.25095785,-3.8991587,0.2753243,0.82010543,-6.140357,9.86324,-6.1653132,0.6995021,-1.0185777,fake
-330.2274,53.241077,-3.9647982,40.594753,-35.985546,-20.081882,-29.084307,-20.41907,-18.243126,-7.9363923,-21.319052,-4.679885,-7.8694115,-5.2882094,-1.6835296,-21.222128,3.1770518,-12.85446,-4.6628914,-7.599542,fake
-271.3405,106.52773,-40.37683,81.6403,33.070168,-22.776773,-16.585505,6.1632023,-39.55562,-11.5482645,-10.278769,-26.402023,4.2605896,-13.644654,-1.1144822,5.6151896,-6.4670815,-6.560723,0.9666999,-13.59595,fake
-253.38777,72.1919,-34.991432,45.330765,-43.2242,10.1703825,-23.851467,-0.26629397,-21.939636,-14.387544,-7.975003,-20.042028,-2.7504835,-11.918954,-2.6253607,-10.664188,-3.5154293,-13.081948,-0.8353353,-6.299547,fake
-190.79092,165.5013,-18.095823,49.60985,5.9029417,10.597441,6.731685,8.600429,-11.506048,8.624826,-11.230546,-6.660037,6.264026,-9.513018,9.185789,-8.448835,-3.732265,-5.310201,1.4744188,-5.2871943,fake
-177.26,117.34935,-51.31227,59.043827,-22.299458,11.405505,-26.848806,-1.7052106,-25.418684,-12.351126,-7.913815,-26.578611,-0.8607071,-25.692074,5.7765126,-13.64328,-17.543798,-4.2061944,-10.272508,-11.548723,fake
-216.01314,104.10513,-38.204754,58.703197,-7.4862914,5.0253406,-19.83688,-14.010314,-12.504032,-23.34781,-16.039324,-9.114302,-9.038129,-8.979822,-3.3144226,-15.3474245,2.8359,-13.760275,-9.12528,-3.7304456,fake
-136.31639,125.14167,-35.863434,52.325592,-28.939196,19.715693,-23.950779,2.10867,-6.0714455,-5.7368436,-7.5935802,-11.832291,-7.013138,-12.035654,1.3695043,-13.068722,5.5485554,-8.326976,-4.627897,-6.340365,fake
-191.67389,147.50108,-15.48243,53.963425,-6.47345,38.034702,-22.552238,8.393915,-22.035154,-3.2105923,0.10665491,-10.152965,9.824504,-12.197076,7.1048975,-0.8964362,-4.020685,-9.581552,2.4921308,-10.697875,fake
-262.24628,149.31636,-15.321093,22.629143,-14.302583,-30.025211,-4.891606,-24.027533,-21.26257,-9.833916,-15.2225065,-13.936083,-12.616524,-13.419059,-11.062051,-11.506164,-18.265383,-10.643998,-5.826223,-14.4091015,fake
-214.14938,120.21661,-22.879766,80.31461,2.3953774,12.021514,-16.587389,11.203007,0.5554464,-3.407927,-8.299808,-12.630723,2.0344899,-18.763786,10.298025,-10.804299,-5.837622,0.3941739,-4.4236865,1.7886271,fake
-200.88237,180.71152,-26.319109,42.15272,7.6068773,9.867821,4.1190553,2.3996315,-9.932627,10.975742,-8.921431,-6.8846135,6.638289,-9.06117,6.407625,-7.0243406,-1.0183253,-4.749294,-2.1823804,-2.0199606,fake
-206.74294,131.43576,-15.465443,74.96897,-2.9704106,25.64144,-13.323135,11.871251,-12.997517,-4.029932,1.0411149,-15.849336,12.815137,-20.03619,4.4968467,-2.6235209,-7.6700454,-1.1823659,-0.8985036,-0.37878093,fake
-163.42195,128.10309,-56.736908,46.88313,-16.678267,16.527414,-22.064386,-6.176285,-28.70702,-10.68534,-5.089301,-23.809525,0.03794596,-25.590643,4.885577,-11.586612,-14.565373,-4.3501596,-12.689146,-8.722888,fake
-162.93825,115.31374,-32.332706,49.75118,-37.01728,31.117052,-32.186115,7.406304,-14.9459715,-1.4588112,-7.1803703,-11.308177,1.0492477,-13.214012,5.604886,-14.31214,7.075294,-10.906981,-4.4277067,-7.2758927,fake
-234.86333,138.08234,-19.199984,57.592083,-13.038845,-2.5227652,-4.3103247,-2.44055,-9.431147,1.8437272,-10.413502,-11.161241,1.7832392,-11.685232,3.9316297,-13.072587,2.257792,-2.2339091,-7.947248,1.5795846,fake
-151.3982,123.34614,-57.77232,63.10286,-16.303215,2.520308,-18.07378,-3.0575264,-30.500952,-12.675284,-9.629726,-22.407097,1.7058442,-27.55751,2.4829843,-10.546859,-16.531239,-3.2089047,-6.3460116,-11.648023,fake
-321.6679,163.03564,-9.671856,33.30154,3.2436786,-9.1773,1.4911524,-17.71211,-13.887582,-13.569204,-6.0470047,-3.764808,-12.407003,-5.915273,0.36229432,-0.1550342,-8.688422,-3.5975106,-2.4796932,-13.212649,fake
-215.02983,111.363464,-47.169704,58.833885,-18.990364,0.7341928,-13.039956,-20.09982,-12.319149,-15.9251,-15.507617,-8.539769,-5.6047864,-7.9819713,-3.4920573,-14.925892,1.943091,-14.073231,-10.484358,-2.718565,fake
-259.4335,123.76861,-24.41264,46.735844,-6.6217527,-26.386217,-13.100091,-22.951653,-28.274574,-13.347145,-11.103682,0.19582663,-13.9241495,-3.8805342,4.077747,-21.595592,-1.0494719,-10.7259655,-14.367721,-4.941436,fake
-212.64406,129.52579,-17.98614,53.61409,-8.507617,25.227503,-15.997827,0.7692197,-18.219336,-8.93795,5.455522,-10.460485,0.9168966,-6.9549685,9.1764555,-12.148105,6.402371,-4.257642,-10.668915,4.5202937,fake
-159.3102,131.4634,-29.075441,49.72727,-20.334312,13.718464,-17.141737,1.0265872,-7.8443,-7.9276376,-7.03685,-12.767623,-3.679275,-7.9441547,-0.39441654,-11.014915,5.244534,-9.632544,-9.6488495,-8.187243,fake
-208.42693,125.18305,-13.001899,48.402645,-9.546485,8.222323,-22.448109,-0.73610204,-11.220138,-7.5186915,-4.8442907,-5.373905,1.2992923,1.9615098,-1.6584822,-7.1084175,10.589974,-7.0181184,0.27322415,-3.961346,fake
-249.98763,153.81654,-13.723326,35.917107,4.7360272,-14.04016,1.5730884,-21.599384,-15.553637,-11.686273,-18.862783,-9.224022,-10.375599,-7.523208,2.8450718,-6.4319296,-11.495064,3.2292511,-4.712599,-13.961008,fake
-283.12497,123.46244,-11.26831,60.869816,-5.590836,-1.7591693,-3.2428827,-1.6484237,-4.5256777,-0.03401477,-8.306012,-6.646859,1.1313859,-7.7160897,0.83612674,-12.836037,4.8559856,-3.0785394,-8.535591,4.2351003,fake
-206.40106,88.899666,-30.85869,31.176441,-40.02241,19.824608,-31.726513,4.484368,-21.858793,-15.099118,-7.009946,-12.243363,-1.775113,-16.748697,-2.0095751,-10.415878,-1.218918,-14.8780575,-2.5662656,-7.7753673,fake
-241.63786,135.87906,-11.593825,54.85417,14.446814,29.78447,-14.203105,-2.1925137,-2.0397398,1.4162623,-7.2215915,-7.1307845,6.14709,-17.58787,8.467406,-3.7946672,-4.653462,-3.0517933,-0.30266133,3.5990376,fake
-355.8539,82.18386,-5.756479,31.573223,-1.9982948,17.279398,-4.8550696,4.887745,0.32905018,2.7810326,0.23414892,-10.31713,-2.114375,-7.5928717,7.4494853,-7.50083,-5.653374,0.11777352,-3.0155141,0.08425333,fake
-292.852,152.00378,-31.673304,27.632647,0.0041036936,-13.48813,-1.2168972,-15.969345,-4.159925,-8.924936,-11.659468,0.7647372,-4.839079,-4.931123,2.2474527,-4.2704096,-10.633514,0.84598804,-1.8715273,-15.059413,fake
-209.3303,138.1249,-9.339723,48.710815,-12.685088,29.017685,-22.659912,0.8542466,-16.519485,-9.534654,2.8225112,-11.8779955,7.3027935,-4.007255,6.4090633,-11.278294,7.698191,-4.9676504,-8.173114,3.641572,fake
-249.56764,128.238,-32.357914,24.007257,-13.384188,-18.930746,-13.146762,-24.511694,-24.542616,-6.533692,-17.48485,-0.73115593,-10.867328,-6.033704,5.1104784,-23.091263,-2.7354033,-10.855916,-14.0185995,-6.2181783,fake
-244.20811,150.13518,-13.205334,10.777626,-14.559067,-24.049026,-6.695549,-19.596008,-13.866663,-10.84952,-15.333332,-10.634183,-13.880841,-13.432996,-4.9198074,-7.695439,-18.060165,-9.286067,-3.5887754,-12.557676,fake
-206.37424,124.9782,-28.735483,65.469444,-18.014582,28.388256,-18.541517,8.146443,-8.452578,1.5717819,6.0191665,-13.716025,3.2131772,-16.353115,15.238758,-11.249159,-5.5425563,-2.1906834,-4.8853855,1.0707155,fake
-267.1431,91.21855,-32.439056,65.781296,-2.4704041,-3.5700283,-6.960104,13.008378,-27.53102,-13.555148,-9.631838,-22.996193,6.2701473,-8.090596,-1.4100618,-1.3122424,-3.2469118,-6.9049964,-1.0542326,-8.596829,fake
-212.65826,160.47011,-17.580765,21.366606,-11.212211,5.8417096,-15.207897,-6.7551937,-8.207381,-12.8202505,-8.303452,1.3088827,-2.1902595,2.9962707,-0.30090657,-5.838532,9.466014,-6.8827486,3.067218,-5.1097684,fake
-217.29854,127.72122,-50.464733,45.203392,-12.8667965,2.1475203,-13.886162,-20.58096,-14.486632,-18.31572,-15.25497,-9.105878,-9.413983,-5.2295856,-2.280273,-18.609911,1.4147065,-14.023721,-13.057868,-3.1276066,fake
-170.33484,148.9377,-15.222538,60.643818,-14.357511,21.548975,-13.284255,13.282245,-23.415398,-0.6706622,-3.2941673,-10.2870455,9.1310625,-10.862742,8.780456,-4.418654,-2.8641355,-8.203145,1.6854867,-10.774604,fake
-226.8184,107.93571,-43.476982,62.181522,-12.477483,4.1268215,-9.61432,-13.408042,-19.271706,-17.180447,-12.720325,-10.204055,-9.558384,-7.0568576,0.14106321,-20.460665,2.5460541,-11.092049,-10.902739,-4.7057257,fake
-280.0828,190.96988,-23.560493,28.829685,1.9515824,-22.487907,-0.15940553,-13.024882,-9.646082,-7.8415737,-11.061835,-6.7197084,-9.881935,-2.7268221,4.3544087,-6.9233265,-11.857985,0.9904679,-6.1742926,-12.881958,fake
-209.12349,114.91685,-41.951355,41.03116,-13.758918,3.836,-14.935582,-24.675741,-16.69263,-14.606743,-14.267115,-11.952104,-10.529144,-5.1877394,-3.873797,-19.012152,1.9883057,-12.370234,-12.4854145,-5.953403,fake
-180.66074,164.99942,-24.01357,57.929535,16.992954,13.240975,4.6452866,3.3541527,-9.217125,5.097974,-11.192311,-6.5882244,3.5289702,-12.793241,7.366827,-1.4460454,-2.473323,-6.2433767,0.36192927,-3.6712885,fake
-197.55273,115.85107,-44.46373,40.981377,-16.757256,1.0197184,-17.760748,-6.121694,-16.14358,-9.081007,-5.7128077,-13.069932,-4.4000516,-9.39605,4.7738266,-18.05851,-1.2555375,-5.0288925,-13.167379,-2.6886632,fake
-250.00414,173.76442,-38.112522,11.189417,1.0364828,-16.169943,-5.597152,-16.640932,-5.98937,-5.1673613,-8.255488,-3.2796824,-11.764867,-4.725604,4.230549,-9.75465,-10.655439,3.0972111,-4.918422,-13.939209,fake
-203.67311,114.470436,-43.533825,63.255005,-19.05353,7.545242,-24.716278,-3.5657232,-17.630888,-13.325796,-8.977857,-14.652746,-5.745155,-11.105446,8.151543,-20.94372,5.1542006,-5.640376,-12.247257,-1.219378,fake
-192.55287,114.85621,-52.38631,61.633694,-22.944836,8.668895,-11.218986,-17.513025,-8.60222,-16.650736,-10.608657,-7.7953763,-10.373614,-7.1129003,-1.8510665,-16.027046,1.2051022,-13.881416,-8.612764,-6.5549574,fake
-246.47964,153.82169,-17.877495,15.878523,-17.715694,-22.247992,-10.2627125,-22.876839,-11.242693,-16.091885,-13.375073,-9.078128,-11.042395,-11.012485,-11.882035,-3.0637698,-15.407408,-12.071054,-2.5933833,-19.409058,fake
-194.333,130.74031,-66.023636,40.06778,-26.92297,11.543044,-21.016117,-6.700215,-5.6257,-7.6301627,-3.6135736,-9.173587,-5.98842,-11.613771,5.063524,-17.007305,1.3190374,-7.009846,-10.16167,-2.3091586,fake
-281.53244,149.40533,-2.8249562,11.843237,-26.3875,-24.927483,-2.8342822,-24.920702,-20.98489,-12.039494,-13.890346,-14.385279,-12.112337,-12.183264,-11.948263,-6.554083,-15.797375,-11.837346,-4.0405197,-15.454012,fake
-343.48495,80.63129,-31.575962,21.374634,-15.99031,1.7225903,-7.1674547,-1.7949014,-16.436817,-6.1049466,-7.3535633,-13.582761,1.5203321,-14.127873,1.7471604,-5.8756995,-7.545397,-3.5913363,-7.640376,-4.759913,fake
-214.74706,163.05319,-28.255009,35.233402,-13.566031,-2.62074,-11.031631,-0.37180832,-5.8597336,-12.709732,-8.438358,1.4732294,3.678483,2.4993505,-0.6469965,-2.3016887,6.588023,-4.1878915,1.4399462,-5.491891,fake
-206.50258,180.42242,-24.194176,11.972567,-8.224826,0.49763492,-9.843828,-14.067114,-13.3788595,-11.2292185,-8.037384,-2.461774,-5.6031036,1.1420858,2.7975607,-3.0633721,5.003984,-2.8415036,0.03228996,-8.131287,fake
-275.912,123.454,-3.8573945,32.34059,-7.804,-28.863924,-10.48475,-16.482271,-14.766226,-16.793053,-13.082017,-9.311478,-10.872513,-9.500953,-8.705801,-5.4101176,-12.513286,-8.991095,-3.4905672,-9.870511,fake
-165.9908,122.49138,-41.964912,42.097588,-26.931181,3.680682,-14.932153,-3.1084526,-27.001398,-15.408706,-5.642889,-20.37987,0.73102164,-19.89895,2.101861,-10.62751,-16.262373,-4.1901546,-9.915782,-11.532841,fake
-202.00624,112.604965,-55.41188,49.035583,-21.889872,9.1329975,-24.715654,-11.322446,-6.991721,-12.738813,-6.703759,-8.647861,-5.2049775,-12.462787,4.5050426,-15.784093,-1.2829419,-7.851324,-12.383887,-2.7351272,fake
-180.79182,147.92775,-11.218137,52.94803,-15.870305,25.411604,-15.111605,14.574641,-18.064896,1.4461018,-1.0180261,-8.788457,8.775769,-9.628108,8.125038,-6.281478,-2.6752496,-8.083334,3.0069008,-9.200158,fake
-192.41379,93.81443,-27.271442,47.49738,-42.584393,17.598942,-33.30522,7.2129908,-26.677715,-16.092968,-13.029004,-15.887086,0.33651444,-20.550508,-0.7928571,-15.743697,-3.0332916,-15.848109,-3.3198583,-9.743712,fake
-211.62617,122.85108,-5.7488713,73.537865,7.1261034,22.625141,-12.498809,9.072809,-11.512052,-9.296924,0.74024075,-10.995134,6.1687117,-20.615206,4.218709,-1.5311155,-8.119468,1.8651004,-1.746908,-2.3357909,fake
-234.14922,152.33559,-27.238895,8.401698,-7.597704,-26.470055,-10.495551,-11.36499,-11.5104475,-15.022964,-18.077576,-13.308874,-11.06513,-12.482402,-10.179497,-10.200894,-17.693386,-9.687476,-3.6644125,-10.154787,fake
-219.58307,98.166565,-42.149853,54.733624,-11.075562,13.658894,-24.455114,-3.202575,-22.179201,-11.616203,-7.1953554,-25.068117,-0.8712437,-18.627073,3.523736,-10.298113,-10.454684,-5.280923,-7.5767646,-8.208008,fake
-201.38347,159.51195,-18.175076,34.81852,-7.030373,0.32985505,-15.545783,-6.949131,-12.385834,-14.313766,-4.7435246,-1.7607399,-5.0482316,-2.8796825,-0.88973176,-2.8159308,4.3940916,-4.0628576,2.526793,-4.227955,fake
-219.2491,165.44316,-22.789242,23.986898,5.1196513,-10.375935,-7.7451544,-8.5207,-8.742099,-9.054968,-8.605125,-4.447946,-2.4130905,0.7573114,-1.3644438,-3.855824,0.58296907,-1.7004596,-0.9527324,-5.6726213,fake
